HomHumanSymbol	MouseSymbol
CCDC30	Ccdc30
ITGAE	Itgae
GUCY1B2	Gucy1b2
HTR7	Htr7
PRELID3A	Prelid3a
TMEM131	Tmem131
KLHL33	Klhl33
SIGLEC10	Siglecg
SIGLEC11	Siglecg
SIGLEC16	Siglecg
DNAJC16	Dnajc16
DENND4B	Dennd4b
TRIM14	Trim14
VWA8	Vwa8
U2SURP	U2surp
TMEM59	Tmem59
PPFIA2	Ppfia2
SYTL5	Sytl5
RPGR	Rpgr
RAPGEF4	Rapgef4
ATR	Atr
DARS2	Dars2
CRABP2	Crabp2
KCNQ3	Kcnq3
RBP2	Rbp2
OC90	Oc90
RNF208	Rnf208
NEK10	Nek10
ABR	Abr
NOXRED1	Noxred1
NMUR2	Nmur2
SLC10A3	Slc10a3
LPIN1	Lpin1
SETD2	Setd2
ELOB	Elob
TXK	Txk
ARL3	Arl3
DACH1	Dach1
CHD6	Chd6
COL22A1	Col22a1
CALM2	Calm2
NBEAL1	Nbeal1
TBX20	Tbx20
CALM3	Calm3
SCML2	Scml2
ARHGEF5	Arhgef5
CCNG1	Ccng1
DMWD	Dmwd
ITGAM	Itgam
IL17RD	Il17rd
KIF21B	Kif21b
ITGAX	Itgax
DACH2	Dach2
GLRA3	Glra3
SLC10A1	Slc10a1
AKNA	Akna
IGSF5	Igsf5
TTLL4	Ttll4
CRABP1	Crabp1
RIT1	Rit1
ACTR3	Actr3
RIT2	Rit2
FBXW9	Fbxw9
DGKH	Dgkh
DOC2B	Doc2b
ARHGAP15	Arhgap15
DIP2A	Dip2a
KRT222	Krt222
SH3KBP1	Sh3kbp1
THEM6	Them6
C5orf63	C330018D20Rik
NDUFA4L2	Ndufa4l2
GRPEL2	Grpel2
NMNAT3	Nmnat3
SEZ6L2	Sez6l2
TRAV13-1	Trav5n-4
TRAV13-2	Trav5n-4
TLCD4	Tlcd4
VGLL3	Vgll3
FBXL21P	Fbxl21
FAM107B	Fam107b
ACTR5	Actr5
SLC10A7	Slc10a7
PHC2	Phc2
TRMT10A	Trmt10a
FAM83E	Fam83e
SALL3	Sall3
CDH8	Cdh8
FAM91A1	Fam91a1
FABP1	Fabp1
ZNF408	Zfp408
SLC10A4	Slc10a4-ps
FABP3	Fabp3
NTN5	Ntn5
FAM83C	Fam83c
PTPRF	Ptprf
AP1AR	Ap1ar
SETD6	Setd6
TRAV13-1	Trav5d-4
TRAV13-2	Trav5d-4
CCDC180	Ccdc180
SLC10A4	Slc10a4
SALL1	Sall1
FITM1	Fitm1
PTPRS	Ptprs
NXF1	Nxf1
SETD3	Setd3
PRLH	Prlh
CCAR2	Ccar2
BTBD17	Btbd17
TRAV13-1	Trav5-4
TRAV13-2	Trav5-4
GRIN3B	Grin3b
MKRN2	Mkrn2
C2CD4D	C2cd4d
SLITRK3	Slitrk3
PWWP3A	Pwwp3a
DSG4	Dsg4
BPI	Bpi
DSG1	Dsg1b
LBP	Lbp
PLCXD2	Plcxd2
CD2	Cd2
PWWP4	Pwwp4a
DSG1	Dsg1a
PWWP4	Pwwp4c
DSG1	Dsg1c
PWWP4	Pwwp4d
DSG2	Dsg2
PWWP3B	Pwwp3b
DSG3	Dsg3
VWA5B2	Vwa5b2
EEF1AKMT4	Eef1akmt4
ECE2	Eef1ece2
EEF1AKMT4-ECE2	Eef1ece2
PTDSS2	Ptdss2
SRSF11	Srsf11
ECE2	Ece2
EEF1AKMT4-ECE2	Ece2
DNER	Dner
CETN1	Cetn1
PHKA2	Phka2
SRSF9	Srsf9
MACROD2	Macrod2
UNC93B1	Unc93b1
SRSF10	Srsf10
PRR11	Prr11
SHKBP1	Shkbp1
SRSF6	Srsf6
REPS2	Reps2
SRSF7	Srsf7
SASH3	Sash3
SRSF4	Srsf4
FOSL2	Fosl2
SRSF5	Srsf5
AGAP1	Agap1
AGAP11	Agap1
AGAP5	Agap1
AGAP7P	Agap1
AGAP9	Agap1
SRSF2	Srsf2
PIK3CA	Pik3ca
SRSF3	Srsf3
FKBP14	Fkbp14
MAB21L3	Mab21l3
PANX3	Panx3
GHSR	Ghsr
PCDH20	Pcdh20
KCNH3	Kcnh3
NPHP3	Nphp3
GPR17	Gpr17
PPP2R3B	Ppp2r3d
BIRC6	Birc6
B4GALT2	B4galt2
LTBP1	Ltbp1
PMM2	Pmm2
MAMDC4	Mamdc4
IGSF3	Igsf3
UVSSA	Uvssa
CALM1	Calm1
FXR1	Fxr1
TPI1	Tpi1
PIP4K2A	Pip4k2a
KIF28P	Kif28
DCUN1D2	Dcun1d2
ZCCHC2	Zcchc2
GLIS2	Glis2
LEKR1	Lekr1
UNKL	Unkl
OMA1	Oma1
CNBD1	Cnbd1
WLS	Wls
CTIF	Ctif
MSTO1	Msto1
ACTR3B	Actr3b
MICOS13	Micos13
SRRT	Srrt
ART1	Art1
LLGL2	Llgl2
RPS5	Rps5
ART4	Art4
LLGL1	Llgl1
SLC29A1	Slc29a1
HEXIM2	Hexim2
SNRPD1	Snrpd1
DRD5	Drd5
HEXIM1	Hexim1
U2AF1	U2af1
TLE2	Tle2
CCNA2	Ccna2
DTX1	Dtx1
DHH	Dhh
ATP6V1E2	Atp6v1e2
ATP6V1E1	Atp6v1e1
PPIP5K2	Ppip5k2
DNAH7	Dnah7b
TMLHE	Tmlhe
DNAH7	Dnah7a
R3HCC1	R3hcc1
DNAH7	Dnah7c
PHF24	Phf24
MYO10	Myo10
ACER3	Acer3
FER1L6	Fer1l6
B3GLCT	B3glct
KIF2C	Kif2c
RIN1	Rin1
CYP7B1	Cyp7b1
SELENOI	Selenoi
PARD3B	Pard3b
UMODL1	Umodl1
RASGRP2	Rasgrp2
DLC1	Dlc1
FKBP10	Fkbp10
SPIDR	Spidr
RB1CC1	Rb1cc1
BCL2L1	Bcl2l1
CLDN22	Cldn22
FKBP4	Fkbp4
RAB9B	Rab9b
STMND1	Stmnd1
BCL7A	Bcl7a
ITGA1	Itga1
ZFAT	Zfat
SV2C	Sv2c
ALOXE3	Aloxe3
CRISPLD2	Crispld2
FKBP6	Fkbp6
ALOX12B	Alox12b
MEX3A	Mex3a
FKBP8	Fkbp8
CKB	Ckb
ALDH18A1	Aldh18a1
TBC1D10C	Tbc1d10c
FKBP3	Fkbp3
NANOS3	Nanos3
BIN2	Bin2
GAS7	Gas7
FKBP7	Fkbp7
PSAP	Psap
RRAD	Rrad
HNF1B	Hnf1b
NDRG3	Ndrg3
FKBP1A	Fkbp1a
FKBP1C	Fkbp1a
KPNA4	Kpna4
PER2	Per2
CITED1	Cited1
PER1	Per1
TUBAL3	Tubal3
JAG2	Jag2
CYP1A1	Cyp1a1
MCL1	Mcl1
TFAP2A	Tfap2a
TBC1D8B	Tbc1d8b
JAG1	Jag1
RGS14	Rgs14
CYP1A2	Cyp1a2
TAF1	Taf1
TAF1L	Taf1
MPLKIP	Mplkip
ARHGAP24	Arhgap24
GRB7	Grb7
PSMB7	Psmb7
TBC1D22B	Tbc1d22b
MFSD9	Mfsd9
SEMA5B	Sema5b
KIAA1217	Etl4
APBB1	Apbb1
CARMIL3	Carmil3
GFI1B	Gfi1b
KBTBD7	Kbtbd7
RNF20	Rnf20
SMTN	Smtn
ADCY8	Adcy8
STRADB	Stradb
FKBP9	Fkbp9
GPA33	Gpa33
NCKIPSD	Nckipsd
FKBP11	Fkbp11
KLHL35	Klhl35
SHC3	Shc3
FKBP1B	Fkbp1b
ITGA2	Itga2
NANOS2	Nanos2
FKBP2	Fkbp2
POU6F2	Pou6f2
MOCS1	Mocs1
CHRNB2	Chrnb2
KBTBD6	Kbtbd6
LRRC34	Lrrc34
RETREG1	Retreg1
ARHGEF28	Arhgef28
ICE1	Ice1
FIG4	Fig4
BCL11B	Bcl11b
ATIC	Atic
CARS2	Cars2
ASCC3	Ascc3
BCL6B	Bcl6b
PRPS1L1	Prps1l1
MEMO1	Memo1
FKBPL	Fkbpl
PRPS1	Prps1
TWNK	Twnk
KLHL7	Klhl7
BCL3	Bcl3
VIM	Vim
MYCL	Mycl
MYCLP1	Mycl
KEAP1	Keap1
RAB2A	Rab2a
FADS3	Fads3
ZNF710	Zfp710
CASP3	Casp3
ND3	mt-Nd3
EIF2S3	Eif2s3x
EIF2S3B	Eif2s3x
FADS2	Fads2
MTMR6	Mtmr6
XBP1	Xbp1
CBX5	Cbx5
FHIP1A	Fhip1a
GRAMD1B	Gramd1b
PTPRZ1	Ptprz1
ENTPD5	Entpd5
ZNF276	Zfp276
WSCD1	Wscd1
SATB2	Satb2
ADAP2	Adap2
WWC1	Wwc1
COMMD6	Commd6
GUCY2C	Gucy2c
OSBPL6	Osbpl6
TNK2	Tnk2
ADAMTS6	Adamts6
DIPK2B	Dipk2b
PTBP3	Ptbp3
CIDEC	Cidec
HSD3B7	Hsd3b7
ATP8B1	Atp8b1
DIPK1B	Dipk1b
PALD1	Pald1
CLCN5	Clcn5
FJX1	Fjx1
PREX2	Prex2
DIPK1C	Dipk1c
TRPC7	Trpc7
SGO2	Sgo2a
LYPLAL1	Lyplal1
SGO2	Sgo2b
TLX2	Tlx2
C4A	C4b
C4B	C4b
C4B_2	C4b
UBE4B	Ube4b
GRAMD2B	Gramd2b
TMSB15A	Tmsb15b1
TMSB15B	Tmsb15b1
MKRN1	Mkrn1
SNW1	Snw1
MKRN3	Mkrn3
MTHFD2L	Mthfd2l
GRIA3	Gria3
DYRK1A	Dyrk1a
GRIA2	Gria2
LPCAT4	Lpcat4
CACNA1C	Cacna1c
GRIA4	Gria4
UBXN6	Ubxn6
S1PR2	S1pr2
PFKFB1	Pfkfb1
PKNOX1	Pknox1
RASA2	Rasa2
GRIA1	Gria1
SPATA13	Spata13
KPNA1	Kpna1
TTC39A	Ttc39a
ZFYVE16	Zfyve16
CCN6	Ccn6
PDE8B	Pde8b
EFL1	Efl1
RO60	Ro60
GNPDA2	Gnpda2
CEMIP	Cemip
OSR1	Osr1
MTERF1	Mthfs
MTHFS	Mthfs
SKOR2	Skor2
MTHFS	Mthfsl
BOP1	Bop1
ASXL1	Asxl1
TLNRD1	Tlnrd1
BCL7B	Bcl7b
DUOX2	Duox2
IL16	Il16
CCN5	Ccn5
DUOX1	Duox1
EME2	Eme2
CIDEB	Cideb
MAPK9	Mapk9
MSANTD1	Msantd1
BCL6	Bcl6
DMBX1	Dmbx1
NEPRO	Nepro
OXSR1	Oxsr1
PTK2	Ptk2
JADE1	Jade1
GAN	Gan
CIDEA	Cidea
MEIS1	Meis1
NPLOC4	Nploc4
GBX1	Gbx1
ENY2	Eny2
CEBPB	Cebpb
PCBP1	Pcbp1
SLC12A8	Slc12a8
CEBPG	Cebpg
CNTN5	Cntn5
CEBPD	Cebpd
PCBP2	Pcbp2
RYR1	Ryr1
H1-8	H1f8
PSAPL1	Psapl1
TNFAIP1	Tnfaip1
CEBPA	Cebpa
LACTB	Lactb
KCND3	Kcnd3
CCNY	Ccny
CENPC	Cenpc1
BCL10	Bcl10
CCDC74A	Ccdc74a
CCDC74B	Ccdc74a
TAOK1	Taok1
KIRREL3	Kirrel3
MITF	Mitf
ZDHHC24	Zdhhc24
DIPK1A	Dipk1a
DIPK2A	Dipk2a
IQSEC3	Iqsec3
GNG14	Gng14
ZDHHC20	Zdhhc20
SEC22B	Sec22b
YWHAG	Ywhag
PPP1R3B	Ppp1r3b
SFRP5	Sfrp5
PDIA4	Pdia4
BAG4	Bag4
PNRC2	Pnrc2
NANOG	Nanog
NANOGP1	Nanog
NANOGP8	Nanog
ELOVL7	Elovl7
DUSP7	Dusp7
USP36	Usp36
PPP2R2A	Ppp2r2a
HDAC10	Hdac10
ZDHHC5	Zdhhc5
RPUSD1	Rpusd1
CNTROB	Cntrob
CENATAC	Cenatac
CCN4	Ccn4
SVIP	Svip
CEP192	Cep192
CCN2	Ccn2
CCN1	Ccn1
ZDHHC8	Zdhhc8
SPTA1	Spta1
AP1S2	Ap1s2
DCUN1D1	Dcun1d1
PPP6R2	Ppp6r2
FAU	Fau
KNL1	Knl1
TSPAN6	Tspan6
CKAP2	Ckap2
CNN2	Cnn2
CUL5	Cul5
TMEM33	Tmem33
ZNF385C	Zfp385c
RECQL4	Recql4
DNAH3	Dnah3
DCUN1D1	Tes3-ps
TMSB15A	Tmsb15a
TMSB15A	Tmsb15b2
TMSB15B	Tmsb15b2
ATP6	Atp6-ps
EMSY	Emsy
ATP6	mt-Atp6
PSMD7	Psmd7
ND2	mt-Nd2
RBM25	Rbm25
ND1	mt-Nd1
SRP72	Srp72
GGA3	Gga3
COX3	mt-Co3
INKA1	Inka1
COX2	mt-Co2
MTCO2P12	mt-Co2
N4BP1	N4bp1
CYTB	mt-Cytb
ND5	mt-Nd5
EAPP	Eapp
ND4L	mt-Nd4l
KLHL11	Klhl11
COX1	mt-Co1
ERCC4	Ercc4
ND6	mt-Nd6
F5	F5
GUCY2F	Gucy2f
HAUS6	Haus6
PPP1CA	Ppp1ca
ND4	mt-Nd4
RNPEPL1	Rnpepl1
GUCY2D	Gucy2e
C6orf136	2310061I04Rik
GNAT1	Gnat1
UBE2D3	Ube2d3
KLF3	Klf3
CAVIN1	Cavin1
GUCA1B	Guca1b
NASP	Nasp
HSF2	Hsf2
CBX2	Cbx2
GPC4	Gpc4
CNDP2	Cndp2
KLF2	Klf2
CASTOR2	Castor2
CASTOR3P	Castor2
GNAT2	Gnat2
TPTE	Tpte
TPTE2	Tpte
RFNG	Rfng
ASB8	Asb8
MICALL2	Micall2
ST13	St13
ST13P4	St13
ST13P5	St13
CCDC18	Ccdc18
AGO4	Ago4
PCMTD1	Pcmtd1
VCP	Vcp
PLEKHH3	Plekhh3
IMMT	Immt
RAC1	Rac1
KANSL1	Kansl1
NAGS	Nags
HDAC5	Hdac5
MCRIP2	Mcrip2
CD79B	Cd79b
TAC4	Tac4
SLCO3A1	Slco3a1
GZMB	Gzmd
GZMH	Gzmd
GZMB	Gzmf
GZMH	Gzmf
RAPH1	Raph1
KIF5A	Kif5a
FCRL2	Fcrl2
FCRL3	Fcrl5
FCRL5	Fcrl5
C8B	C8b
NLRP9	Nlrp9a
NLRP9	Nlrp9b
GPR18	Gpr18
CARF	Carf
DHX9	Dhx9
TMTC4	Tmtc4
CHD7	Chd7
GBP1	Gbp2b
GBP2	Gbp2b
GBP3	Gbp2b
GBP6	Gbp9
GBP6	Gbp10
MPLKIP	Mplkipl1
TOX	Tox
RASAL2	Rasal2
HEMGN	Hemgn
TPP2	Tpp2
OPLAH	Oplah
METTL22	Mettl22
TMEM101	Tmem101
ADGRE2	Adgre5
ADGRE5	Adgre5
ADGRE1	Adgre1
PPP1R16A	Ppp1r16a
SUN2	Sun2
GNG10	Gng10
PSMB2	Psmb2
COBL	Cobl
LRRC45	Lrrc45
KCP	Kcp
CHN2	Chn2
IFNLR1	Ifnlr1
CEP78	Cep78
KIRREL2	Kirrel2
TRPC1	Trpc1
ARAP3	Arap3
MAP3K3	Map3k3
ATG9B	Atg9b
SFT2D3	Sft2d3
IFNGR1	Ifngr1
IL10RA	Il10ra
CREB5	Creb5
NACAD	Nacad
TAGLN	Tagln
TBRG4	Tbrg4
AQP9	Aqp9
UBR1	Ubr1
CCT6A	Cct6a
SMAD6	Smad6
UGDH	Ugdh
CCT6B	Cct6b
EFNA3	Efna3
SYTL2	Sytl2
PRKCI	Prkci
NLRP2	Nlrp2
NLRP7	Nlrp2
G6PC1	G6pc1
MPP2	Mpp2
DCC	Dcc
JMJD1C	Jmjd1c
VCAN	Vcan
TDRD12	Tdrd12
NGB	Ngb
MYOCD	Myocd
MAB21L2	Mab21l2
PAQR4	Paqr4
NECTIN4	Nectin4
KCNH4	Kcnh4
AFG3L1P	Afg3l1
NLRP5	Nlrp5
GZMB	Gzmc
GZMB	Gzmn
ASAP1	Asap1
CTLA4	Ctla4
GZMB	Gzmg
GZMH	Gzmg
GZMB	Gzme
GZMH	Gzme
GZMB	Gzmb
CTSG	Ctsg
OVOL2	Ovol2
SIGLEC14	Siglecf
SIGLEC5	Siglecf
SIGLEC8	Siglecf
MRPL58	Mrpl58
ZDHHC11	Zdhhc11
ZDHHC11B	Zdhhc11
LAS1L	Las1l
EPN3	Epn3
DENND2B	Dennd2b
TPSAB1	Tpsab1
TPSB2	Tpsab1
TPSD1	Tpsab1
ZDHHC2	Zdhhc2
ADGRF5	Adgrf5
LARP6	Larp6
GSG1L2	Gsg1l2
LARP4	Larp4
H2AC14	H2ac10
AMMECR1	Ammecr1
H2AC4	H2ac23
H2AC6	H2ac23
H2AC8	H2ac23
LARP1B	Larp1b
PSMA8	Psma8
H2AC11	H2ac22
H2AC4	H2ac22
H2AC8	H2ac22
CFAP90	Cfap90
TDP1	Tdp1
RPUSD2	Rpusd2
RPAP1	Rpap1
MRC2	Mrc2
MMP17	Mmp17
OVOL3	Ovol3
HBEGF	Hbegf
NLGN2	Nlgn2
CEP76	Cep76
TMEM179B	Tmem179b
TMEM219	Tmem219
FANCM	Fancm
MMP25	Mmp25
EMP1	Emp1
SHE	She
CHRNA3	Chrna3
DOCK9	Dock9
GRIK5	Grik5
OAF	Oaf
GRIK4	Grik4
NLGN1	Nlgn1
NABP2	Nabp2
ZDHHC18	Zdhhc18
IFIT3	Ifit3
ZDHHC15	Zdhhc15
SIRPA	Sirpa
ZDHHC16	Zdhhc16
IFIT2	Ifit2
ZDHHC12	Zdhhc12
RNF151	Rnf151
ZDHHC13	Zdhhc13
CCSER2	Ccser2
ZDHHC4	Zdhhc4
MAST1	Mast1
ZDHHC9	Zdhhc9
CD33	Cd33
SIGLEC6	Cd33
PSMA5	Psma5
FCRL1	Fcrl1
PSMA3	Psma3
BCL11A	Bcl11a
EFHB	Efhb
IFIT3	Ifit3b
PPP1R9B	Ppp1r9b
EHBP1	Ehbp1
TMEM104	Tmem104
GRIN2C	Grin2c
LSM5	Lsm5
NR4A3	Nr4a3
PCDH1	Pcdh1
TIMP4	Timp4
DYRK4	Dyrk4
DLEU7	Dleu7
SPATA2	Spata2
NAPSA	Napsa
EFCAB6	Efcab6
SLC22A5	Slc22a5
CYP11B1	Cyp11b2
CYP11B2	Cyp11b2
AMOTL1	Amotl1
CYP11B1	Cyp11b1
CYP11B2	Cyp11b1
RASSF7	Rassf7
ADAM23	Adam23
PPP1R12C	Ppp1r12c
ASB2	Asb2
ADAM22	Adam22
IGFLR1	Igflr1
RHOT1	Rhot1
DCST2	Dcst2
TCF23	Tcf23
PRRT2	Prrt2
DNAJA4	Dnaja4
TFEB	Tfeb
GMNC	Gmnc
DNAJA1	Dnaja1
ABCC1	Abcc1
NFKB1	Nfkb1
L3MBTL1	L3mbtl1
DDAH1	Ddah1
CHADL	Chadl
DNAJC21	Dnajc21
SRBD1	Srbd1
CAPN9	Capn9
TMEM51	Tmem51
TMEM94	Tmem94
L3MBTL2	L3mbtl2
KSR2	Ksr2
APOE	Apoe
APBA2	Apba2
ECM1	Ecm1
VWC2L	Vwc2l
SEL1L	Sel1l
STAP2	Stap2
ADGRG4	Adgrg4
L3MBTL4	L3mbtl4
FLVCR1	Flvcr1
ARPC4	Arpc4
MYNN	Mynn
MAP7D3	Map7d3
L3MBTL3	L3mbtl3
HMGCLL1	Hmgcll1
RPS9	Rps9
TENT5C	Tent5c
CMSS1	Cmss1
DISP2	Disp2
CASQ2	Casq2
EIF2B5	Eif2b5
CSGALNACT1	Csgalnact1
MARCKSL1	Marcksl1
CBY1	Cby1
ERF	Erf
CTSA	Ctsa
WNK3	Wnk3
DNASE2	Dnase2a
CHAF1A	Chaf1a
TFAP4	Tfap4
EPHA3	Epha3
BLZF1	Blzf1
TRAF2	Traf2
ADAMTS1	Adamts1
PLEKHG3	Plekhg3
ADAM33	Adam33
LRP6	Lrp6
NKX6-3	Nkx6-3
GRM5	Grm5
VEGFD	Vegfd
NTNG1	Ntng1
ADAMTS18	Adamts18
SREBF1	Srebf1
ADAMTS13	Adamts13
FRMD8	Frmd8
FRMD8P1	Frmd8
ADAMTS9	Adamts9
TCF4	Tcf4
ADAMTS20	Adamts20
PLEKHG2	Plekhg2
MRPL20	Mrpl20
TARS2	Tars2
ADAMTSL4	Adamtsl4
RAB38	Rab38
H2AC8	H2ac13
PSMA7	Psma7
H2AC15	H2ac6
H2AC4	H2ac6
H2AC8	H2ac6
H2AC1	H2ac15
KCNN2	Kcnn2
H2AC17	H2ac7
H2AC4	H2ac7
H2AC8	H2ac7
PSMA1	Psma1
IRX5	Irx5
LRWD1	Lrwd1
H2AC4	H2ac4
H2AC7	H2ac4
H2AC8	H2ac4
PSMA4	Psma4
IRX1	Irx1
HLCS	Hlcs
H2AC4	H2ac11
RSPH9	Rsph9
ZNF703	Zfp703
HYOU1	Hyou1
H2AC12	H2ac12
PGAP3	Pgap3
LCAT	Lcat
OTUD4	Otud4
H2AC16	H2ac8
H2AC4	H2ac8
H2AC8	H2ac8
PSMA6	Psma6
LMO4	Lmo4
BRD3	Brd3
ALKBH3	Alkbh3
RAB21	Rab21
DUSP5	Dusp5
HLX	Hlx
H2AC4	H2ac24
H2AC8	H2ac24
PGAP1	Pgap1
CNMD	Cnmd
NHP2	Nhp2
GNG3	Gng3
PRR33	Prr33
RAB7A	Rab7
DNASE2B	Dnase2b
RAF1	Raf1
ZEB1	Zeb1
RPL12	Rpl12
THSD4	Thsd4
EFNB3	Efnb3
NAPA	Napa
ZP1	Zp1
LIG4	Lig4
KIF13A	Kif13a
SMPDL3A	Smpdl3a
PDE1C	Pde1c
MMP15	Mmp15
ATXN1L	Atxn1l
MMP11	Mmp11
INTS5	Ints5
CD37	Cd37
RPS6KA2	Rps6ka2
ASPG	Aspg
USP54	Usp54
ANKRD1	Ankrd1
SYNPO2L	Synpo2l
TMEM151B	Tmem151b
KCNB1	Kcnb1
NCAM2	Ncam2
SYDE2	Syde2
BIVM	Bivm
CAPN1	Capn1
CLCC1	Clcc1
TRMT5	Trmt5
NCAM1	Ncam1
WDR46	Wdr46
PIGV	Pigv
PWP2	Pwp2
STARD13	Stard13
TBC1D19	Tbc1d19
RTTN	Rttn
ARX	Arx
SZT2	Szt2
PLD5	Pld5
EIF3J	Eif3j1
BMPR1B	Bmpr1b
PHF13	Phf13
TRMT13	Trmt13
SLC51A	Slc51a
EIF3J	Eif3j2
SMPDL3B	Smpdl3b
ANKRD34C	Ankrd34c
UPF1	Upf1
MOV10	Mov10
TMEM68	Tmem68
TERF1	Terf1
DNAJC14	Dnajc14
MMAB	Mmab
MTCL3	Mtcl3
GABPA	Gabpa
PPP1R8	Ppp1r8
ARHGAP33	Arhgap33
HYAL3	Hyal3
KIAA0408	9330159F19Rik
NDUFB5	Ndufb5
DDB1	Ddb1
SNX29	Snx29
SNX29P1	Snx29
SNX29P2	Snx29
HYAL2	Hyal2
IL11RA	Il11ra1
HYI	Hyi
DNAJB12	Dnajb12
IL11RA	Il11ra3
ALDH1A2	Aldh1a2
FOXM1	Foxm1
SNX25	Snx25
DNAJB13	Dnajb13
IL11RA	Il11ra2
PKLR	Pklr
FYB1	Fyb1
DNAAF2	Dnaaf2
ADH5	Adh5
TFE3	Tfe3
F8	F8
LRRC32	Lrrc32
DOC2A	Doc2a
RPH3A	Rph3a
OR6K2	Or6k2
NHS	Nhs
MACROD1	Macrod1
OR13G1	Or13g1
ESAM	Esam
OR2A2	Or2a52
TNFRSF10A	Tnfrsf10b
TNFRSF10B	Tnfrsf10b
TNFRSF10C	Tnfrsf10b
TNFRSF10D	Tnfrsf10b
SLC16A5	Slc16a5
BLM	Blm
OR12D1	Or12d2
OR12D2	Or12d2
SLC16A8	Slc16a8
NMS	Nms
COA8	Coa8
URB2	Urb2
NHSL3	Nhsl3
OACYLP	Oacyl
SLC6A11	Slc6a11
PWP1	Pwp1
STARD7	Stard7
NRGN	Nrgn
KCNA4	Kcna4
MMAA	Mmaa
STARD4	Stard4
SH3BP1	Sh3bp1
RRP9	Rrp9
STARD10	Stard10
ANGPT1	Angpt1
CIB3	Cib3
TRMT12	Trmt12
PLD3	Pld3
ODC1	Odc1
SHTN1	Shtn1
TRMT11	Trmt11
RPLP1	Rplp1
ANGPTL3	Angptl3
ATP8B4	Atp8b4
MMACHC	Mmachc
RPLP1	Rplp1rt
ANGPT2	Angpt2
UBA7	Uba7
SLC9A3	Slc9a3
STARD8	Stard8
STARD5	Stard5
URB1	Urb1
STARD3	Stard3
CRYBB1	Crybb1
SPRY4	Spry4
BTG1	Btg1
RNF111	Rnf111
MEGF8	Megf8
OR2A14	Or2a14
AKAP11	Akap11
OR2A14	Or2a56
TNFSF11	Tnfsf11
MROH1	Mroh1
DCST1	Dcst1
RAVER2	Raver2
ADAM15	Adam15
PAQR6	Paqr6
TMEM178B	Tmem178b
SKAP1	Skap1
ADAM11	Adam11
COL12A1	Col12a1
TRIM16	Trim16
TRIM16L	Trim16
DROSHA	Drosha
DGKE	Dgke
CAP2	Cap2
GNL2	Gnl2
MEAK7	Meak7
NICOL1	Nicol1
PRXL2B	Prxl2b
KDM5A	Kdm5a
PDCD2	Pdcd2
TUBA1A	Tuba1a
MGAT4B	Mgat4b
FAM120B	Fam120b
GOLGA1	Golga1
CEP131	Cep131
QRSL1	Qrsl1
ARID5A	Arid5a
HAO2	Hao2
LSM10	Lsm10
PRXL2C	Prxl2c
ARID4A	Arid4a
MVB12A	Mvb12a
TRIM41	Trim41
MGAT4A	Mgat4a
ARID3B	Arid3b
UCP1	Ucp1
RNPS1	Rnps1
ATMIN	Atmin
HPCAL1	Hpcal1
FCHO2	Fcho2
TUBGCP3	Tubgcp3
HMGA1	Hmga1
PDLIM1	Pdlim1
ITSN1	Itsn1
GYS1	Gys1
FCHO1	Fcho1
UPK2	Upk2
PNPLA7	Pnpla7
ARF2P	Arf2
VAT1	Vat1
PGM1	Pgm1
LRBA	Lrba
NR5A1	Nr5a1
MAP3K14	Map3k14
ACTR1B	Actr1b
SLC35D1	Slc35d1
MAP4K2	Map4k2
BCAS3	Bcas3
RND2	Rnd2
ALG9	Alg9
HMGA1	Hmga1b
C1orf198	2310022B05Rik
SNRPD3	Snrpd3
MYH10	Myh10
EHMT2	Ehmt2
BAG6	Bag6
APOA2	Apoa2
NFYA	Nfya
CAPNS2	Capns2
PQBP1	Pqbp1
DMD	Dmd
MRM2	Mrm2
GPKOW	Gpkow
PRRC2A	Prrc2a
VAMP8	Vamp8
SF3A1	Sf3a1
PBRM1	Pbrm1
ARIH1	Arih1
POLD2	Pold2
ANTXR1	Antxr1
IGFBP6	Igfbp6
LETM2	Letm2
TACC1	Tacc1
CACNA1G	Cacna1g
SYT6	Syt6
CHD3	Chd3
UPF2	Upf2
ANKRD27	Ankrd27
SERINC4	Serinc4
DNAJB14	Dnajb14
ARB2A	Arb2a
ZGPAT	Zgpat
LMF1	Lmf1
RRP8	Rrp8
CFAP54	Cfap54
CALU	Calu
SYT17	Syt17
ADAMTS17	Adamts17
DNAJB7	Dnajb7
ATP5MJ	Atp5mj
PLEKHA3	Plekha3
SYT15	Syt15
ADAMTSL3	Adamtsl3
DNAJB9	Dnajb9
CELF1	Celf1
TBC1D23	Tbc1d23
ERFL	Erfl
DYDC2	Dydc2
DNAJB2	Dnajb2
ZFPL1	Zfpl1
SYT3	Syt3
TBATA	Tbata
DNAJB4	Dnajb4
FHAD1	Fhad1
SIX2	Six2
ATP5MG	Atg5lrt
ATP5MGL	Atg5lrt
ZNF385B	Zfp385b
PAPOLG	Papolg
XRCC2	Xrcc2
DNAJB11	Dnajb11
SLC5A10	Slc5a10
GLRA4	Glra4
ATP5MG	Atp5mg
ATP5MGL	Atp5mg
CCDC157	Ccdc157
DDX39B	Ddx39b
DYDC1	Dydc1
DNAJB1	Dnajb1
CFDP1	Cfdp1
BAMBI	Bambi
ESPL1	Espl1
HEATR5A	Heatr5a
DUS3L	Dus3l
SPTBN1	Sptbn1
